c,e,n,t,e,r,0,0,0,0,0,0,0,0,0,0
g,e,s,c,h,i,c,k,l,i,c,h,k,e,i,t
s,u,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,i,s,t,a,0,0,0,0,0,0,0,0,0,0,0
p,e,r,h,a,p,s,0,0,0,0,0,0,0,0,0
d,i,e,s,0,0,0,0,0,0,0,0,0,0,0,0
d,e,s,g,a,s,t,e,0,0,0,0,0,0,0,0
p,u,n,k,t,0,0,0,0,0,0,0,0,0,0,0
s,y,m,b,o,l,0,0,0,0,0,0,0,0,0,0
p,l,a,z,a,0,0,0,0,0,0,0,0,0,0,0
m,i,r,0,0,0,0,0,0,0,0,0,0,0,0,0
e,s,p,o,s,a,0,0,0,0,0,0,0,0,0,0
s,l,a,v,0,0,0,0,0,0,0,0,0,0,0,0
p,l,u,r,a,l,e,s,0,0,0,0,0,0,0,0
o,c,k,s,å,0,0,0,0,0,0,0,0,0,0,0
l,a,s,s,e,n,0,0,0,0,0,0,0,0,0,0
h,e,c,h,o,0,0,0,0,0,0,0,0,0,0,0
r,i,n,g,0,0,0,0,0,0,0,0,0,0,0,0
h,o,c,h,0,0,0,0,0,0,0,0,0,0,0,0
s,u,r,e,0,0,0,0,0,0,0,0,0,0,0,0
b,a,s,e,0,0,0,0,0,0,0,0,0,0,0,0
l,o,t,0,0,0,0,0,0,0,0,0,0,0,0,0
s,i,d,a,0,0,0,0,0,0,0,0,0,0,0,0
l,e,n,t,a,0,0,0,0,0,0,0,0,0,0,0
m,a,r,0,0,0,0,0,0,0,0,0,0,0,0,0
e,n,t,r,a,r,0,0,0,0,0,0,0,0,0,0
a,u,c,h,0,0,0,0,0,0,0,0,0,0,0,0
j,e,t,z,t,0,0,0,0,0,0,0,0,0,0,0
o,r,i,g,i,n,a,l,0,0,0,0,0,0,0,0
c,r,e,c,e,r,0,0,0,0,0,0,0,0,0,0
t,h,i,r,d,0,0,0,0,0,0,0,0,0,0,0
f,ü,r,0,0,0,0,0,0,0,0,0,0,0,0,0
b,e,v,i,s,a,0,0,0,0,0,0,0,0,0,0
s,k,y,d,d,a,0,0,0,0,0,0,0,0,0,0
c,r,o,s,s,0,0,0,0,0,0,0,0,0,0,0
e,x,t,r,a,ñ,o,0,0,0,0,0,0,0,0,0
o,r,t,0,0,0,0,0,0,0,0,0,0,0,0,0
a,n,d,r,a,0,0,0,0,0,0,0,0,0,0,0
r,e,a,c,h,0,0,0,0,0,0,0,0,0,0,0
f,r,a,g,e,n,0,0,0,0,0,0,0,0,0,0
f,u,e,g,o,0,0,0,0,0,0,0,0,0,0,0
b,r,i,n,g,0,0,0,0,0,0,0,0,0,0,0
e,n,h,e,t,0,0,0,0,0,0,0,0,0,0,0
v,o,z,0,0,0,0,0,0,0,0,0,0,0,0,0
s,t,i,e,g,e,n,0,0,0,0,0,0,0,0,0
n,ä,r,a,0,0,0,0,0,0,0,0,0,0,0,0
p,e,n,s,a,r,0,0,0,0,0,0,0,0,0,0
é,s,t,o,s,0,0,0,0,0,0,0,0,0,0,0
d,r,ö,m,0,0,0,0,0,0,0,0,0,0,0,0
f,a,m,i,l,j,0,0,0,0,0,0,0,0,0,0
s,i,g,n,o,0,0,0,0,0,0,0,0,0,0,0
b,r,o,t,0,0,0,0,0,0,0,0,0,0,0,0
h,a,l,s,0,0,0,0,0,0,0,0,0,0,0,0
h,o,p,p,a,0,0,0,0,0,0,0,0,0,0,0
s,e,r,v,e,0,0,0,0,0,0,0,0,0,0,0
e,n,g,i,n,e,0,0,0,0,0,0,0,0,0,0
c,a,t,0,0,0,0,0,0,0,0,0,0,0,0,0
h,e,t,t,a,0,0,0,0,0,0,0,0,0,0,0
c,l,o,u,d,0,0,0,0,0,0,0,0,0,0,0
p,o,b,l,a,r,0,0,0,0,0,0,0,0,0,0
p,r,a,k,t,i,k,e,n,0,0,0,0,0,0,0
l,ä,c,h,e,l,n,0,0,0,0,0,0,0,0,0
t,e,n,i,d,o,0,0,0,0,0,0,0,0,0,0
n,a,d,a,0,0,0,0,0,0,0,0,0,0,0,0
s,o,l,a,0,0,0,0,0,0,0,0,0,0,0,0
c,o,n,t,i,n,e,n,t,0,0,0,0,0,0,0
a,n,z,a,h,l,0,0,0,0,0,0,0,0,0,0
i,n,v,i,e,r,n,o,0,0,0,0,0,0,0,0
a,n,g,e,b,o,t,0,0,0,0,0,0,0,0,0
g,a,m,e,0,0,0,0,0,0,0,0,0,0,0,0
u,n,t,e,r,0,0,0,0,0,0,0,0,0,0,0
a,u,c,h,0,0,0,0,0,0,0,0,0,0,0,0
k,v,o,t,e,n,0,0,0,0,0,0,0,0,0,0
s,u,b,t,r,a,h,i,e,r,e,n,0,0,0,0
p,r,o,d,u,z,i,e,r,e,n,0,0,0,0,0
a,c,e,r,c,a,0,0,0,0,0,0,0,0,0,0
m,a,r,k,n,a,d,0,0,0,0,0,0,0,0,0
ä,g,g,0,0,0,0,0,0,0,0,0,0,0,0,0
a,k,k,o,r,d,0,0,0,0,0,0,0,0,0,0
p,r,o,b,l,e,m,a,0,0,0,0,0,0,0,0
h,a,u,t,0,0,0,0,0,0,0,0,0,0,0,0
s,u,b,t,r,a,h,e,r,a,0,0,0,0,0,0
i,n,n,e,b,a,r,0,0,0,0,0,0,0,0,0
p,a,r,t,i,t,u,r,0,0,0,0,0,0,0,0
l,o,n,e,0,0,0,0,0,0,0,0,0,0,0,0
e,n,t,e,0,0,0,0,0,0,0,0,0,0,0,0
c,a,n,t,a,r,0,0,0,0,0,0,0,0,0,0
e,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,s,c,r,i,t,o,0,0,0,0,0,0,0,0,0
p,f,e,r,d,0,0,0,0,0,0,0,0,0,0,0
s,e,p,a,r,a,t,e,0,0,0,0,0,0,0,0
l,i,s,t,e,n,0,0,0,0,0,0,0,0,0,0
ä,m,n,e,0,0,0,0,0,0,0,0,0,0,0,0
e,l,e,m,e,n,t,0,0,0,0,0,0,0,0,0
m,å,n,e,n,0,0,0,0,0,0,0,0,0,0,0
b,r,o,a,d,0,0,0,0,0,0,0,0,0,0,0
a,n,s,l,u,t,a,0,0,0,0,0,0,0,0,0
e,g,g,0,0,0,0,0,0,0,0,0,0,0,0,0
b,e,t,a,l,a,0,0,0,0,0,0,0,0,0,0
m,i,g,h,t,0,0,0,0,0,0,0,0,0,0,0
l,l,a,m,a,d,a,0,0,0,0,0,0,0,0,0
m,e,t,a,l,l,0,0,0,0,0,0,0,0,0,0
l,e,v,e,r,0,0,0,0,0,0,0,0,0,0,0
w,i,r,d,0,0,0,0,0,0,0,0,0,0,0,0
a,g,u,j,e,r,o,0,0,0,0,0,0,0,0,0
i,n,d,u,s,t,r,y,0,0,0,0,0,0,0,0
s,e,v,e,n,0,0,0,0,0,0,0,0,0,0,0
d,i,s,k,u,t,i,e,r,e,n,0,0,0,0,0
d,i,v,i,d,e,0,0,0,0,0,0,0,0,0,0
g,e,n,t,l,e,0,0,0,0,0,0,0,0,0,0
y,e,l,l,o,w,0,0,0,0,0,0,0,0,0,0
